E:\drivedata\IMG\center_2019_07_17_23_01_39_887.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_39_887.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_39_887.jpg,0,0,0,1.740296E-05
E:\drivedata\IMG\center_2019_07_17_23_01_39_966.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_39_966.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_39_966.jpg,0,0,0,1.240881E-05
E:\drivedata\IMG\center_2019_07_17_23_01_40_060.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_060.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_060.jpg,0,0,0,1.972784E-05
E:\drivedata\IMG\center_2019_07_17_23_01_40_165.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_165.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_165.jpg,0,0,0,1.177385E-05
E:\drivedata\IMG\center_2019_07_17_23_01_40_257.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_257.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_257.jpg,0,0,0,4.699353E-06
E:\drivedata\IMG\center_2019_07_17_23_01_40_363.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_363.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_363.jpg,0,0.1509612,0,0.05574562
E:\drivedata\IMG\center_2019_07_17_23_01_40_446.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_446.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_446.jpg,0,0.417516,0,0.4579906
E:\drivedata\IMG\center_2019_07_17_23_01_40_542.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_542.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_542.jpg,0,0.7053694,0,1.073209
E:\drivedata\IMG\center_2019_07_17_23_01_40_635.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_635.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_635.jpg,0,0.9840361,0,2.181383
E:\drivedata\IMG\center_2019_07_17_23_01_40_728.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_728.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_728.jpg,0,0.8539573,0,3.259394
E:\drivedata\IMG\center_2019_07_17_23_01_40_821.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_821.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_821.jpg,0,0.5728534,0,3.996629
E:\drivedata\IMG\center_2019_07_17_23_01_40_915.jpg,E:\drivedata\IMG\left_2019_07_17_23_01_40_915.jpg,E:\drivedata\IMG\right_2019_07_17_23_01_40_915.jpg,0,0.2893288,0,4.321243
